DateTime,CT,SRAD,TMAX,TMIN,TDEW,RELH,WSPD,P_Mesonet,WDIR,WMAX,PRES,TAIR,Irrigation,P_Mesonet,IP
7/30/2020 11:45,304.75,979,308.15,307.55,293.15,42,9,0,304,14,28.4,308.15,0,0,0
7/30/2020 12:00,304.95,966,308.15,308.15,293.75,43,11,0,326,15,28.4,308.15,0,0,0
7/30/2020 12:15,305.75,939,308.15,307.55,294.25,46,13,0,338,19,28.4,307.55,0,0,0
7/30/2020 12:30,306.05,922,307.55,307.55,294.25,46,12,0,332,17,28.4,307.55,0,0,0
7/30/2020 12:45,306.45,991,308.15,307.55,293.75,44,11,0,335,16,28.4,308.15,0,0,0
7/30/2020 13:00,307.05,983,308.15,308.15,294.25,45,12,0,346,16,28.4,308.15,0,0,0
7/30/2020 13:15,307.45,632,308.15,307.05,294.25,46,11,0,239,15,28.4,307.55,0,0,0
7/30/2020 13:30,307.15,817,307.55,307.05,295.35,48,11,0,238,17,28.4,307.55,0,0,0
7/30/2020 13:45,307.35,598,308.15,307.05,295.35,49,12,0,355,17,28.4,307.55,0,0,0
7/30/2020 14:00,307.85,445,307.05,307.05,295.95,52,10,0,356,15,28.4,307.05,0,0,0
7/30/2020 14:15,308.15,322,306.45,306.45,295.95,55,10,0,358,15,28.4,306.45,0,0,0
7/30/2020 14:30,306.85,522,307.05,306.45,296.45,55,10,0,355,16,28.4,306.45,0,0,0
7/30/2020 14:45,307.25,702,308.15,307.55,295.95,51,12,0,123,17,28.4,307.55,0,0,0
7/30/2020 15:00,306.75,736,308.75,308.15,295.95,48,13,0,17,18,28.4,308.15,0,0,0
7/30/2020 15:15,305.85,748,308.75,308.15,294.85,45,14,0,12,19,28.4,308.75,0,0,0
7/30/2020 15:30,305.15,747,309.25,308.15,294.85,45,13,0,16,22,28.4,308.75,0,0,0
7/30/2020 15:45,305.85,598,308.75,308.15,294.25,44,14,0,20,19,28.4,308.75,0,0,0
7/30/2020 16:00,306.95,658,307.55,306.45,293.75,46,20,0,6,28,28.4,307.05,0,0,0
7/30/2020 16:15,307.55,648,306.45,305.95,293.15,47,19,0,11,26,28.4,305.95,0,0,0
7/30/2020 16:30,307.75,325,305.35,304.25,292.55,49,14,0,11,23,28.4,304.85,0,0,0
7/30/2020 16:45,308.05,434,304.85,304.85,292.55,48,13,0,20,19,28.4,304.85,0,0,0
7/30/2020 17:00,307.85,458,305.95,305.35,293.15,48,12,0,22,18,28.4,305.35,0,0,0
7/30/2020 17:15,306.25,202,305.95,305.35,292.55,47,10,0,19,14,28.4,305.35,0,0,0
7/30/2020 17:30,306.15,125,305.35,304.85,292.55,48,10,0,8,14,28.4,304.85,0,0,0
7/30/2020 17:45,304.55,116,304.85,304.25,293.75,52,4,0,300,9,28.4,304.25,0,0,0
7/30/2020 18:00,304.85,81,303.15,302.55,294.85,62,9,0,189,15,28.4,303.15,0,0,0
7/30/2020 18:15,304.95,67,302.55,302.55,293.15,58,11,0,183,18,28.5,302.55,0,0,0
7/30/2020 18:30,304.45,112,302.05,301.45,293.15,60,12,0,176,20,28.5,301.45,0,0,0
7/30/2020 18:45,304.35,106,301.45,301.45,293.75,62,11,0,155,15,28.5,301.45,0,0,0
7/30/2020 19:00,303.45,27,301.45,300.95,293.75,63,9,0,148,14,28.5,300.95,0,0,0
7/30/2020 19:15,302.75,16,300.95,300.35,293.75,66,8,0,144,11,28.5,300.35,0,0,0
7/30/2020 19:30,302.35,7,300.35,299.85,293.15,67,8,0,143,10,28.5,300.35,0,0,0
7/30/2020 19:45,301.75,1,299.85,299.85,293.15,68,4,0,132,10,28.5,299.85,0,0,0
7/30/2020 20:00,301.05,0,299.25,298.75,293.75,74,2,0,143,4,28.5,298.75,0,0,0
7/30/2020 20:15,300.15,0,298.75,298.75,294.25,76,4,0,84,6,28.5,298.75,0,0,0
7/30/2020 20:30,299.55,0,298.15,298.15,294.25,79,5,0,57,6,28.5,298.15,0,0,0
7/30/2020 20:45,298.95,0,297.55,297.55,294.25,82,6,0,45,11,28.5,297.55,0,0,0
7/30/2020 21:00,297.95,0,297.55,297.55,294.85,84,6,0,61,9,28.5,297.55,0,0,0
7/30/2020 21:15,296.85,0,297.55,297.55,294.25,84,9,0,69,12,28.5,297.55,0,0,0
7/30/2020 21:30,296.85,0,297.55,297.05,294.25,84,8,0,58,11,28.5,297.05,0,0,0
7/30/2020 21:45,296.75,0,297.05,297.05,294.85,86,6,0,79,8,28.5,297.05,0,0,0
7/30/2020 22:00,296.65,0,297.05,297.05,294.25,86,6,0,72,8,28.5,297.05,0,0,0
7/30/2020 22:15,296.65,0,296.45,296.45,294.85,89,3,0,28,5,28.5,296.45,0,0,0
7/30/2020 22:30,296.65,0,297.05,296.45,294.85,89,9,0,354,19,28.5,296.45,0,0,0
7/30/2020 22:45,296.55,0,297.05,297.05,294.25,86,7,0,239,10,28.5,297.05,0,0,0
7/30/2020 23:00,296.75,0,297.55,296.45,294.25,83,9,0,32,16,28.5,297.05,0,0,0
7/30/2020 23:15,296.25,0,297.55,297.55,293.75,80,10,0,32,15,28.5,297.55,0,0,0
7/30/2020 23:30,295.85,0,297.55,297.05,294.25,82,9,0,34,14,28.6,297.05,0,0,0
7/30/2020 23:45,296.25,0,297.05,297.05,294.25,85,10,0,23,13,28.6,297.05,0,0,0
7/31/2020 0:00,296.15,0,297.05,297.05,294.25,84,11,0,14,16,28.6,297.05,0,0,0
7/31/2020 0:15,296.35,0,297.55,297.05,294.25,82,13,0,13,20,28.6,297.05,0,0,0
7/31/2020 0:30,296.45,0,297.05,297.05,293.75,80,14,0,11,20,28.6,297.05,0,0,0
7/31/2020 0:45,296.15,0,297.05,296.45,293.15,79,16,0,120,22,28.6,297.05,0,0,0
7/31/2020 1:00,296.15,0,295.95,295.95,292.55,80,15,0,1,22,28.6,295.95,0,0,0
7/31/2020 1:15,296.35,0,295.95,295.35,292.05,80,15,0,355,21,28.6,295.95,0,0,0
7/31/2020 1:30,296.45,0,295.35,295.35,291.45,80,18,0,352,25,28.6,295.35,0,0,0
7/31/2020 1:45,296.55,0,294.85,294.85,291.45,80,18,0,351,25,28.6,294.85,0,0,0
7/31/2020 2:00,296.05,0,294.85,294.85,291.45,80,15,0,352,23,28.6,294.85,0,0,0
7/31/2020 2:15,295.25,0,294.85,294.85,291.45,81,12,0,354,16,28.6,294.85,0,0,0
7/31/2020 2:30,295.05,0,294.85,294.25,291.45,82,12,0,357,17,28.6,294.25,0,0,0
7/31/2020 2:45,294.65,0,294.25,294.25,291.45,83,9,0,351,15,28.6,294.25,0,0,0
7/31/2020 3:00,294.45,0,294.25,293.75,290.95,84,8,0,334,12,28.6,293.75,0,0,0
7/31/2020 3:15,294.15,0,293.75,293.75,290.95,85,8,0,342,11,28.6,293.75,0,0,0
7/31/2020 3:30,293.85,0,293.75,293.75,290.95,84,9,0,346,13,28.6,293.75,0,0,0
